"cod","lon","lat","month_n","CCSM_tasmin","CNRM_tasmin","FGOALS_tasmin","GISS_tasmin","IPSL_tasmin","MIROC_tasmin","MPI_tasmin","MRI_tasmin"
83639,-41.9,-20.51,"12",21.0440292358398,16.8358554840088,18.6099338531494,20.1376457214355,15.9216270446777,20.7480506896973,19.7590789794922,20.5511512756348
83639,-41.9,-20.51,"2",21.8700981140137,17.9483547210693,19.4179515838623,20.3779354095459,17.3386363983154,21.6751098632812,20.6366767883301,21.2030334472656
83639,-41.9,-20.51,"3",21.5819606781006,17.2772960662842,18.8480167388916,20.0217208862305,16.5478267669678,21.1904945373535,20.0919818878174,20.7052574157715
83639,-41.9,-20.51,"4",20.093786239624,14.8973979949951,17.4316577911377,18.9925193786621,15.180682182312,19.8565368652344,18.4996166229248,18.742208480835
83639,-41.9,-20.51,"5",17.9692573547363,12.3319654464722,15.6914653778076,17.4807453155518,12.5945043563843,17.9794902801514,16.6200923919678,16.6980514526367
83639,-41.9,-20.51,"6",16.4603004455566,9.8047513961792,14.6421356201172,15.7452764511108,10.9363374710083,16.4969024658203,15.1249332427979,14.8528699874878
83639,-41.9,-20.51,"7",15.7374715805054,9.19199180603027,14.7213506698608,15.3262710571289,10.1033744812012,15.9652290344238,14.3547630310059,14.4341087341309
83639,-41.9,-20.51,"8",15.7005577087402,10.4501895904541,15.7365779876709,15.9621877670288,10.1134634017944,16.174467086792,14.9933137893677,15.0540895462036
83639,-41.9,-20.51,"9",16.9062099456787,12.7633419036865,17.2159023284912,17.5463333129883,11.0574960708618,17.2416954040527,16.2975292205811,16.7916030883789
83642,-42.86,-20.76,"1",19.4660491943359,16.3575248718262,18.3280506134033,19.7608127593994,16.2957057952881,21.0545463562012,19.3956680297852,20.3379707336426
83642,-42.86,-20.76,"10",15.9616746902466,12.829140663147,17.0698413848877,18.1131267547607,12.0566377639771,17.9153213500977,16.771505355835,17.8587837219238
83642,-42.86,-20.76,"11",17.8804817199707,13.939959526062,17.4170742034912,18.8610572814941,13.4991140365601,19.4119567871094,17.6331653594971,18.7332496643066
83642,-42.86,-20.76,"12",18.9524879455566,15.5377521514893,17.8160552978516,19.3895206451416,14.9916915893555,20.3095855712891,18.7041721343994,19.7191791534424
83642,-42.86,-20.76,"2",19.6267795562744,16.3573722839355,18.4826831817627,19.6378517150879,16.5624771118164,21.0820503234863,19.4957962036133,20.3192386627197
83642,-42.86,-20.76,"3",19.3000831604004,15.6158151626587,17.8265361785889,19.2205772399902,15.5183277130127,20.4965152740479,18.9089126586914,19.7982902526855
83642,-42.86,-20.76,"4",17.4252815246582,12.9223308563232,16.2554473876953,18.0845565795898,13.9500274658203,19.0225620269775,17.1157283782959,17.7619857788086
83642,-42.86,-20.76,"5",14.7883272171021,10.1018180847168,14.4340486526489,16.4705448150635,11.1706066131592,16.9609050750732,15.0781288146973,15.6956176757812
83642,-42.86,-20.76,"6",13.0099487304688,7.38241052627563,13.4352893829346,14.6379146575928,9.5274658203125,15.3554840087891,13.4500598907471,13.8160886764526
83642,-42.86,-20.76,"7",12.4107780456543,6.90035486221313,13.70290184021,14.3385925292969,8.77552795410156,14.8728532791138,12.6512975692749,13.3795442581177
